participant_id,trial_id,block,block_index,trial_in_block,direction_label,shading_azimuth,shadow_azimuth,top_true_shape,response,timestamp
ag,5,shading,1,1,upper-right,60.0,,convex,convex,2026-03-16T11:08:53
ag,17,shading,1,2,lower-left,240.0,,convex,concave,2026-03-16T11:08:56
